State Code,County Name,County FIPS code,County Population (in 2012),County Income (in 2012),Agricultural Damage (%) (4 major crops),Mortality (deaths per 100k),Energy Expenditures (%),Labor Low-risk (%),Labor High-risk (%),Coastal damage (log10(% county income)),Property Crime (%),Violent Crime (%),Total damages (% county income)
AL,Autauga County,1001,55192,35106,-16.00353622,27.02458382,11.99868584,-0.515578687,-2.120601177,-2.051728964,0.052951075,2.369668484,9.43900013
AL,Baldwin County,1003,190560,38228,-12.97430611,31.89538574,12.06669998,-0.378805727,-1.937922955,-0.698060453,0.14725703,2.495163679,9.407799721
AL,Barbour County,1005,27169,28431,-6.562764645,25.53455162,11.38057899,-0.394442827,-1.976558805,-1.961137652,0.151925504,2.528312922,10.87199974
AL,Bibb County,1007,22634,27109,,22.53026772,12.07042408,-0.428851068,-1.934934497,-1.940462589,0.187312141,2.525677443,10.77700043
AL,Blount County,1009,57748,29513,-18.4881897,20.00385094,11.90812778,-0.374522358,-1.854807973,-1.976277828,0.283651412,2.659189463,8.984900475
AL,Bullock County,1011,10589,24541,-67.05168915,29.44885063,11.38057899,-0.394442827,-1.976558805,-1.897234678,0.158603638,2.530690908,14.57800007
AL,Butler County,1013,20409,30240,-37.75315857,33.30487442,11.94373608,-0.388422698,-1.978348374,-1.987930775,0.166954353,2.528355122,12.68000031
AL,Calhoun County,1015,117260,32006,-11.23394012,29.35908699,11.86361885,-0.37616089,-1.856770515,-2.012088299,0.2473685,2.66236949,10.9659996
AL,Chambers County,1017,34087,30047,32.40844727,28.98548698,11.28461552,-0.27781111,-1.683819771,-1.985084057,0.311392277,2.734343529,10.7840004
AL,Cherokee County,1019,26017,29634,14.54802895,19.57513428,11.94947243,-0.225265056,-1.543299794,-1.979136586,0.482413262,2.895255089,8.242400169
AL,Chilton County,1021,43709,28664,-15.16842937,29.80205917,12.08661842,-0.41563943,-1.935026884,-1.964368701,0.202729762,2.586788893,12.65400028
AL,Choctaw County,1023,13559,28994,-10.250453,35.75742722,12.16900063,-0.469561666,-2.082331896,-1.969655752,0.106421702,2.459262848,14.69200039
AL,Clarke County,1025,25168,29684,-10.4934206,33.41838074,12.16900063,-0.469561666,-2.082331896,-0.587813795,0.110646293,2.455294609,13.59000015
AL,Clay County,1027,13465,29936,,27.25026131,11.87521172,-0.426826805,-1.929721355,-1.983538628,0.193633661,2.605437517,11.80900002
AL,Cleburne County,1029,14918,29260,-67.50886536,28.6897049,11.86361885,-0.37616089,-1.856770515,-1.973616719,0.256958336,2.654406309,11.90200043
AL,Coffee County,1031,51217,36887,3.496398449,20.10012436,12.11888313,-0.345305145,-1.916980624,-2.074890375,0.212194473,2.563366652,6.939099789
AL,Colbert County,1033,54473,32910,-13.19145203,30.09936523,12.56714439,-0.441781849,-1.969152808,-2.025622368,0.256002605,2.605430841,10.65299988
AL,Conecuh County,1035,13005,27846,-13.29530621,35.84211731,11.71007156,-0.450103432,-2.075598478,-1.952104926,0.106785417,2.37253356,14.72299957
AL,Coosa County,1037,11181,25765,,23.73347092,11.91052151,-0.371682316,-1.863590956,-1.918381095,0.240998968,2.645071507,12.02499962
AL,Covington County,1039,37809,30396,0.709236443,33.59521103,11.94373608,-0.388422698,-1.978348374,-0.598013639,0.167876154,2.527270079,12.22799969
AL,Crenshaw County,1041,13972,30373,-62.32007599,26.01593208,12.11888313,-0.345305145,-1.916980624,-1.989836454,0.22283338,2.575200319,10.84599972
AL,Cullman County,1043,80361,32673,-21.60521698,23.80463219,11.90812778,-0.374522358,-1.854807973,-2.021294355,0.283651412,2.659189463,9.539600372
AL,Dale County,1045,50310,31727,-4.369337559,22.6889286,11.38057899,-0.394442827,-1.976558805,-2.009958744,0.157946572,2.527494192,9.176600456
AL,Dallas County,1047,42839,29772,-6.151159763,27.43489456,12.07042408,-0.428851068,-1.934934497,-1.981795669,0.167025805,2.530472755,10.51500034
AL,DeKalb County,1049,70930,27706,-35.55474091,15.56729794,11.67417431,-0.270443827,-1.671539068,-1.949011564,0.43833515,2.843507528,7.914599895
AL,Elmore County,1051,80392,35597,-20.44686699,27.7365284,11.99868584,-0.515578687,-2.120601177,-2.058686256,0.046602335,2.367591381,9.532500267
AL,Escambia County,1053,38048,29930,-8.407058716,32.18081284,11.71007156,-0.450103432,-2.075598478,-0.592545569,0.10030622,2.387122631,12.22200012
AL,Etowah County,1055,104320,31875,-22.02352142,33.43852234,11.87240791,-0.422417104,-1.884964824,-2.011272669,0.238577783,2.619443417,12.14900017
AL,Fayette County,1057,16982,28530,-33.57161331,27.38864517,12.68918228,-0.503852665,-2.100296021,-1.962648511,0.14285098,2.469516516,12.21800041
AL,Franklin County,1059,31660,28543,-53.24392319,36.84001923,12.69376278,-0.461077273,-1.963702679,-1.96284771,0.219281673,2.587813854,14.76599979
AL,Geneva County,1061,27002,29677,3.003935337,24.18087196,12.11888313,-0.345305145,-1.916980624,-0.587845564,0.212194473,2.563366652,10.14599991
AL,Greene County,1063,8827,29326,-74.32110596,35.2052002,11.9781971,-0.516416311,-2.083043337,-1.974602699,0.082835034,2.426270008,13.68000031
AL,Hale County,1065,15390,32272,-31.72099686,25.87107277,12.07042408,-0.428851068,-1.934934497,-2.016173601,0.197440863,2.534212589,9.875800133
AL,Henry County,1067,17248,33379,-0.678383648,32.07289124,11.5504837,-0.376267821,-1.890323639,-2.03082037,0.165401042,2.542953253,11.21500015
AL,Houston County,1069,103370,36566,-3.446600914,24.78755188,11.5504837,-0.376267821,-1.890323639,-2.070966959,0.172551304,2.540064812,8.296600342
AL,Jackson County,1071,53048,31751,-30.92355537,18.47607994,12.01622295,-0.294619888,-1.715512276,-2.008942366,0.428601086,2.846846342,7.772200108
AL,Jefferson County,1073,657950,47156,,31.69850159,12.19668007,-0.435828894,-1.915668726,-2.179975986,0.206876665,2.578483582,8.215100288
AL,Lamar County,1075,14255,29000,-56.26609039,27.35474777,12.68918228,-0.503852665,-2.100296021,-1.969745874,0.14285098,2.469516516,11.9659996
AL,Lauderdale County,1077,92694,32436,-16.41061211,27.60118294,12.56714439,-0.441781849,-1.969152808,-2.018686295,0.256002605,2.605430841,10.36499977
AL,Lawrence County,1079,33776,29297,-1.833628178,23.021698,12.47764874,-0.353393137,-1.875165701,-1.974242091,0.327899814,2.723564863,10.07800007
AL,Lee County,1081,148040,31991,18.48419762,13.93887234,11.28461552,-0.27781111,-1.683819771,-2.012649059,0.296450496,2.736871004,5.527200222
AL,Limestone County,1083,87363,36853,-5.325109005,15.197155,12.80416679,-0.419363201,-1.9430722,-2.073231459,0.295886844,2.646583319,5.898200035
AL,Lowndes County,1085,10864,33634,-13.54170609,36.33171082,11.99868584,-0.515578687,-2.120601177,-2.034121513,0.052951075,2.369668484,12.21899986
AL,Macon County,1087,20470,27969,-2.110141516,29.4825592,11.38057899,-0.394442827,-1.976558805,-1.954023719,0.158603638,2.530690908,12.80500031
AL,Madison County,1089,342870,43558,-19.02693367,21.12611771,12.51473141,-0.443920791,-1.98150301,-2.144813538,0.252091497,2.612795591,6.224899769
AL,Marengo County,1091,20443,34376,-17.36082458,36.55410385,12.16900063,-0.469561666,-2.082331896,-2.043602467,0.122266747,2.461673498,12.04199982
